Date,hour,temp
2023-01-12,19,52
2023-01-12,20,53.5
2023-01-12,21,53.333333333333336
2023-01-12,22,54
2023-01-12,23,54
2023-01-13,0,54.5
2023-01-13,1,53.666666666666664
2023-01-13,2,55.666666666666664
2023-01-13,3,56.333333333333336
2023-01-13,4,53
2023-01-13,5,53
2023-01-13,6,53
2023-01-13,7,53
2023-01-13,8,53
2023-01-13,9,54
2023-01-13,10,56
2023-01-13,11,54.5
2023-01-13,12,54
2023-01-13,13,51.666666666666664
2023-01-13,14,47
2023-01-13,15,45
2023-01-13,16,42
2023-01-13,17,40
2023-01-13,18,40
2023-01-13,19,40
2023-01-13,20,39
2023-01-13,21,39
2023-01-13,22,39
2023-01-13,23,38
2023-01-14,0,37
2023-01-14,1,37
2023-01-14,2,36
2023-01-14,3,35
2023-01-14,4,33
2023-01-14,5,34
2023-01-14,6,34
2023-01-14,7,32.333333333333336
2023-01-14,8,33
2023-01-14,9,33
2023-01-14,10,34
2023-01-14,11,34
2023-01-14,12,35
2023-01-14,13,36
2023-01-14,14,36
2023-01-14,15,35
2023-01-14,16,34
2023-01-14,17,33
2023-01-14,18,33
2023-01-14,19,32
2023-01-14,20,32
2023-01-14,21,32
2023-01-14,22,32
2023-01-14,23,31
2023-01-15,0,31
2023-01-15,1,31
2023-01-15,2,31
2023-01-15,3,30.5
2023-01-15,4,30
2023-01-15,5,30
2023-01-15,6,31
2023-01-15,7,30
2023-01-15,8,31
2023-01-15,9,33
2023-01-15,10,35
2023-01-15,11,36
2023-01-15,12,40
2023-01-15,13,40
2023-01-15,14,41
2023-01-15,15,41
2023-01-15,16,39
2023-01-15,17,38
2023-01-15,18,37
2023-01-15,19,36
2023-01-15,20,35
2023-01-15,21,34
2023-01-15,22,33
2023-01-15,23,32
2023-01-16,0,31
2023-01-16,1,30
2023-01-16,2,30
2023-01-16,3,30
2023-01-16,4,30
2023-01-16,5,29
2023-01-16,6,29
2023-01-16,7,29
2023-01-16,8,29
2023-01-16,9,31
2023-01-16,10,34
2023-01-16,11,37
2023-01-16,12,41
2023-01-16,13,44
2023-01-16,14,47
2023-01-16,15,48
2023-01-16,16,46
2023-01-16,17,44
2023-01-16,18,43
2023-01-16,19,42
2023-01-16,20,41
2023-01-16,21,40
2023-01-16,22,38
2023-01-16,23,38
2023-01-17,0,37
2023-01-17,1,37
2023-01-17,2,36
2023-01-17,3,36
2023-01-17,4,36
2023-01-17,5,36
